,departement,lieu_id,Fermeture_Estivale,categorie,name_x,close.actif,close.dateDebut,close.dateFin,name_y,Counts
0,Paris,0,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
1,Paris,1,Fermé,302.0,Laverie,False,,,Laverie,1
2,Paris,2,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
3,Paris,3,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
4,Paris,4,Ouvert,403.0,domi4,False,,,Domiciliation,1
5,Paris,5,Fermé,404.0,Accompagnement social,False,,,Accompagnement social,1
6,Paris,10,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
7,Paris,11,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
8,Paris,12,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
9,Paris,13,Ouvert,404.0,Conseil,False,,,Accompagnement social,1
10,Paris,15,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
11,Paris,16,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
12,Paris,17,Fermé,701.0,Accueil de jour,False,,,Accueil de jour,1
13,Paris,18,Ouvert,301.0,Douche,False,,,Douche,1
14,Paris,20,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
15,Paris,21,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
16,Paris,22,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
17,Paris,23,Fermé,701.0,Accueil de jour,False,,,Accueil de jour,1
18,Paris,25,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
19,Paris,29,Fermé,203.0,Accompagnement à l'emploi,False,,,Accompagnement à l'emploi,1
20,Paris,30,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
21,Paris,31,Ouvert,301.0,Douche,False,,,Douche,1
22,Paris,32,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
23,Paris,33,Ouvert,404.0,Accompagnement social,False,2021-07-14 00:00:00+00:00,2021-09-06 00:00:00+00:00,Accompagnement social,1
24,Paris,35,Fermé,404.0,Conseil,False,,,Accompagnement social,1
25,Paris,37,Ouvert,602.0,petitdej,False,,,Restauration assise,1
26,Paris,38,Modification,701.0,Accueil de jour,False,,,Accueil de jour,1
27,Paris,41,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
28,Paris,42,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
29,Paris,43,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
30,Paris,44,Modification,603.0,Alimentation,False,,,Colis Alimentaire,1
31,Paris,45,Ouvert,701.0,,False,,,Accueil de jour,1
32,Paris,46,Fermé,701.0,CONSEIL,False,,,Accueil de jour,1
33,Paris,47,Ouvert,701.0,Accueil de jour,False,,,Accueil de jour,1
34,Paris,49,Fermé,701.0,Accueil de jour,False,,,Accueil de jour,1
35,Seine-Saint-Denis,50,Ouvert,701.0,Accueil de jour,True,2021-08-23 00:00:00+00:00,2021-09-05 00:00:00+00:00,Accueil de jour,1
36,Paris,51,Fermé,701.0,Accueil de jour,False,,,Accueil de jour,1
37,Paris,52,Fermé,701.0,Accueil de jour,False,,,Accueil de jour,1
38,Paris,53,Ouvert,301.0,Douche,False,,,Douche,1
39,Paris,54,Ouvert,301.0,Douche,False,,,Douche,1
40,Paris,55,Ouvert,301.0,Douche,False,,,Douche,1
41,Paris,56,Ouvert,301.0,Douche,False,,,Douche,1
42,Paris,57,Ouvert,301.0,Douche,False,,,Douche,1
43,Paris,58,Ouvert,301.0,Douche,False,,,Douche,1
44,Paris,60,Ouvert,301.0,Douche,False,,,Douche,1
45,Paris,61,Ouvert,301.0,Douche,False,,,Douche,1
46,Paris,62,Ouvert,301.0,Douche,False,,,Douche,1
47,Paris,63,Fermé,301.0,Douche,False,,,Douche,1
48,Paris,64,Ouvert,301.0,Douche,False,,,Douche,1
49,Paris,65,Ouvert,301.0,Douche,False,,,Douche,1
50,Paris,66,Ouvert,301.0,Douche,False,,,Douche,1
51,Paris,67,Ouvert,301.0,Douche,False,,,Douche,1
52,Paris,68,Ouvert,301.0,Douche,False,,,Douche,1
53,Seine-Saint-Denis,69,Ouvert,404.0,CONSEIL,True,2021-08-02 00:00:00+00:00,2021-08-15 00:00:00+00:00,Accompagnement social,1
54,Paris,70,Fermé,801.0,Piscine,False,,,Sport,1
55,Paris,71,Fermé,801.0,Piscine,False,,,Sport,1
56,Paris,72,Fermé,801.0,Piscine,False,,,Sport,1
57,Paris,73,Ouvert,801.0,Piscine,False,,,Sport,1
58,Paris,74,Fermé,801.0,Piscine,False,,,Sport,1
59,Paris,75,Fermé,801.0,Piscine,False,,,Sport,1
60,Paris,76,Fermé,801.0,Piscine,False,,,Sport,1
61,Paris,77,Fermé,801.0,Piscine,False,,,Sport,1
62,Paris,78,Ouvert,801.0,Piscine,False,,,Sport,1
63,Paris,79,Fermé,801.0,Piscine,False,,,Sport,1
64,Paris,80,Fermé,801.0,Piscine,False,,,Sport,1
65,Paris,81,Fermé,801.0,Piscine,False,,,Sport,1
66,Paris,82,Fermé,801.0,Piscine,False,,,Sport,1
67,Paris,83,Fermé,801.0,Piscine,False,,,Sport,1
68,Paris,84,Fermé,801.0,Piscine,False,,,Sport,1
69,Paris,85,Ouvert,801.0,Piscine,False,,,Sport,1
70,Paris,86,Fermé,801.0,Piscine,False,,,Sport,1
71,Paris,87,Fermé,801.0,Piscine,False,,,Sport,1
72,Paris,88,Fermé,801.0,Piscine,False,,,Sport,1
73,Paris,89,Fermé,801.0,Piscine,False,,,Sport,1
74,Paris,90,Fermé,801.0,Piscine,False,,,Sport,1
75,Paris,91,Fermé,801.0,Piscine,False,,,Sport,1
