,departement,bigCategorie,Changement d'horaire,Services fermés,Fermé,Ouvert
0,Paris,Accueil,0,0,0,1
1,Paris,Hygiène,0,0,1,0
2,Paris,Accueil,0,0,0,1
3,Paris,Accueil,0,0,0,1
4,Paris,Conseil,0,0,0,1
5,Paris,Conseil,0,0,1,0
6,Paris,Accueil,0,0,0,1
7,Paris,Accueil,0,0,0,1
8,Paris,Accueil,0,0,0,1
9,Paris,Conseil,0,0,0,1
10,Paris,Accueil,0,0,0,1
11,Paris,Accueil,0,0,0,1
12,Paris,Accueil,0,0,1,0
13,Paris,Hygiène,0,0,0,1
14,Paris,Accueil,0,0,0,1
15,Paris,Accueil,0,0,0,1
16,Paris,Accueil,0,0,0,1
17,Paris,Accueil,1,0,1,0
18,Paris,Accueil,0,0,0,1
19,Paris,Formation,0,0,1,0
20,Paris,Accueil,0,0,0,1
21,Paris,Hygiène,0,0,0,1
22,Paris,Accueil,0,0,0,1
23,Paris,Conseil,0,0,0,1
24,Paris,Conseil,0,0,1,0
25,Paris,Alimentation,0,0,0,1
26,Paris,Accueil,1,0,0,0
27,Paris,Accueil,0,0,0,1
28,Paris,Accueil,0,0,0,1
29,Paris,Accueil,0,0,0,1
30,Paris,Alimentation,1,0,0,0
31,Paris,Accueil,0,0,0,1
32,Paris,Accueil,0,0,1,0
33,Paris,Accueil,0,0,0,1
34,Paris,Accueil,0,0,1,0
35,Seine-Saint-Denis,Accueil,0,0,0,1
36,Paris,Accueil,0,0,1,0
37,Paris,Accueil,0,0,1,0
38,Paris,Hygiène,0,0,0,1
39,Paris,Hygiène,0,0,0,1
40,Paris,Hygiène,0,0,0,1
41,Paris,Hygiène,0,0,0,1
42,Paris,Hygiène,0,0,0,1
43,Paris,Hygiène,0,0,0,1
44,Paris,Hygiène,0,0,0,1
45,Paris,Hygiène,0,0,0,1
46,Paris,Hygiène,0,0,0,1
47,Paris,Hygiène,0,0,1,0
48,Paris,Hygiène,0,0,0,1
49,Paris,Hygiène,0,0,0,1
